ID,year,month,week,usa,after,sales
19,2011,4,16,0,0,40451.26667
19,2011,4,17,0,0,48408.46667
19,2011,4,18,0,0,37051.36667
19,2011,5,19,0,0,54431.36667
19,2011,5,20,0,0,54131.86667
19,2011,5,21,0,0,45080
19,2011,5,22,0,0,49467.73333
19,2011,5,23,0,0,73621.43333
19,2011,6,24,0,0,42972
19,2011,6,25,0,0,53345.6
19,2011,6,26,0,0,48089.96667
19,2011,6,27,0,0,37421.96667
19,2011,7,28,0,0,72555.83333
19,2011,7,29,0,0,41932.83333
19,2011,7,30,0,0,45724.3
19,2011,7,31,0,0,47943.7
19,2011,8,32,0,0,24822.04333
19,2011,8,33,0,0,51959.5
19,2011,8,34,0,0,33091.21
19,2011,8,35,0,0,39468.13333
19,2011,8,36,0,0,30393.87
19,2011,9,37,0,0,55364.1
19,2011,9,38,0,0,51698
19,2011,9,39,0,0,45426.06667
19,2011,9,40,0,0,49322.73333
19,2011,10,41,0,0,43626.93333
19,2011,10,42,0,0,74351
19,2011,10,43,0,1,32397.73333
19,2011,10,44,0,1,47554.43333
19,2011,10,45,0,1,56076.8
19,2011,11,46,0,1,45360.6
19,2011,11,47,0,1,52879.56667
19,2011,11,48,0,1,72229.46667
19,2011,11,49,0,1,48471.3
19,2011,12,50,0,1,60405.03333
19,2011,12,51,0,1,69612.33333
19,2011,12,52,0,1,55387.53333
19,2011,12,53,0,1,41547.86667
19,2012,1,1,0,1,16396.17
19,2012,1,2,0,1,42644.13333
19,2012,1,3,0,1,38388.83333
19,2012,1,4,0,1,35181.16667
19,2012,1,5,0,1,24987.82333
19,2012,1,6,0,1,20483.35
19,2012,2,7,0,1,33229.09
19,2012,2,8,0,1,32101.40667
19,2012,2,9,0,1,31709.08333
19,2012,2,10,0,1,35922.4
19,2012,3,11,0,1,44797.33333
19,2012,3,12,0,1,33361.13333
19,2012,3,13,0,1,36622.1
19,2012,3,14,0,1,53531.4
19,2012,4,15,0,1,36907.03333
19,2012,4,16,0,1,52740.1
21,2011,4,16,1,0,39975.23333
21,2011,4,17,1,0,21971.25667
21,2011,4,18,1,0,30728.92333
21,2011,5,19,1,0,42982.13333
21,2011,5,20,1,0,35440.1
21,2011,5,21,1,0,30229.82
21,2011,5,22,1,0,34582.33333
21,2011,5,23,1,0,20402.97
21,2011,6,24,1,0,20046.19667
21,2011,6,25,1,0,39369.13333
21,2011,6,26,1,0,40766.43333
21,2011,6,27,1,0,22269.84333
21,2011,7,28,1,0,23165.85
21,2011,7,29,1,0,30262.81667
21,2011,7,30,1,0,33119.24333
21,2011,7,31,1,0,21410.16333
21,2011,8,32,1,0,27365.22
21,2011,8,33,1,0,27058.89333
21,2011,8,34,1,0,20436.38667
21,2011,8,35,1,0,23650.05333
21,2011,8,36,1,0,29302.82
21,2011,9,37,1,0,31913.43333
21,2011,9,38,1,0,32517.68333
21,2011,9,39,1,0,25736.34
21,2011,9,40,1,0,28671.69667
21,2011,10,41,1,0,38446.23333
21,2011,10,42,1,0,65222.66667
21,2011,10,43,1,1,26874.06667
21,2011,10,44,1,1,17793.78333
21,2011,10,45,1,1,37115.13333
21,2011,11,46,1,1,38385.7
21,2011,11,47,1,1,45735.16667
21,2011,11,48,1,1,57436.46667
21,2011,11,49,1,1,30588.93
21,2011,12,50,1,1,40947.86667
21,2011,12,51,1,1,47385.63333
21,2011,12,52,1,1,38680.4
21,2011,12,53,1,1,27075.05333
21,2012,1,1,1,1,18738.48333
21,2012,1,2,1,1,23232.40333
21,2012,1,3,1,1,20412.89333
21,2012,1,4,1,1,17086.97
21,2012,1,5,1,1,16322.5
21,2012,1,6,1,1,25930.4
21,2012,2,7,1,1,34469.36667
21,2012,2,8,1,1,33188.52
21,2012,2,9,1,1,22889.41
21,2012,2,10,1,1,28688.40667
21,2012,3,11,1,1,19849.19
21,2012,3,12,1,1,25501.11
21,2012,3,13,1,1,36854
21,2012,3,14,1,1,54906.86667
21,2012,4,15,1,1,29382.51667
21,2012,4,16,1,1,20126.07333
23,2011,4,16,0,0,91383.26667
23,2011,4,17,0,0,52288.43333
23,2011,4,18,0,0,76448.36667
23,2011,5,19,0,0,76212.73333
23,2011,5,20,0,0,54403.56667
23,2011,5,21,0,0,105471.6
23,2011,5,22,0,0,77347
23,2011,5,23,0,0,60081.7
23,2011,6,24,0,0,37954.23333
23,2011,6,25,0,0,82349.2
23,2011,6,26,0,0,110533.7
23,2011,6,27,0,0,50268.53333
23,2011,7,28,0,0,67220.3
23,2011,7,29,0,0,55376.83333
23,2011,7,30,0,0,49619.53333
23,2011,7,31,0,0,68498.16667
23,2011,8,32,0,0,47681.76667
23,2011,8,33,0,0,93320.83333
23,2011,8,34,0,0,55689.4
23,2011,8,35,0,0,56218.46667
23,2011,8,36,0,0,54970.86667
23,2011,9,37,0,0,83377.8
23,2011,9,38,0,0,108884.5
23,2011,9,39,0,0,65192.86667
23,2011,9,40,0,0,82817.26667
